Fixtures,Expected Goal Difference,Actual Goal Difference
Wiganvs. Reading,1.0,1
Chelseavs. Man City,0.0,0
Southamptonvs. Newcastle,2.0,2
Swanseavs. Liverpool,0.0,0
Tottenhamvs. West Ham,2.0,2
Aston Villavs. Reading,1.0,1
Sunderlandvs. QPR,0.0,0
Chelseavs. Fulham,0.0,0
Evertonvs. Arsenal,0.0,0
Man Unitedvs. West Ham,1.0,1
Southamptonvs. Norwich,0.0,0
Stokevs. Newcastle,1.0,1
Swanseavs. West Brom,2.0,2
Tottenhamvs. Liverpool,1.0,1
Wiganvs. Man City,-2.0,-2
Arsenalvs. Swansea,-2.0,-2
Fulhamvs. Tottenham,-3.0,-3
Liverpoolvs. Southampton,1.0,1
Man Cityvs. Everton,0.0,0
QPRvs. Aston Villa,0.0,0
Readingvs. Man United,-1.0,-1
West Bromvs. Stoke,-1.0,-1
West Hamvs. Chelsea,2.0,2
Norwichvs. Sunderland,1.0,1
Newcastlevs. Wigan,3.0,3
Arsenalvs. West Brom,2.0,2
Aston Villavs. Stoke,0.0,0
Southamptonvs. Reading,1.0,1
Sunderlandvs. Chelsea,-2.0,-2
Swanseavs. Norwich,-1.0,-1
Wiganvs. QPR,0.0,0
Evertonvs. Tottenham,1.0,1
Man Cityvs. Man United,-1.0,-1
West Hamvs. Liverpool,-1.0,-1
Fulhamvs. Newcastle,1.0,1
Sunderlandvs. Reading,3.0,3
Liverpoolvs. Aston Villa,-2.0,-2
Man Unitedvs. Sunderland,2.0,2
Newcastlevs. Man City,-2.0,-2
Norwichvs. Wigan,1.0,1
QPRvs. Fulham,1.0,1
Stokevs. Everton,0.0,0
Tottenhamvs. Swansea,1.0,1
West Bromvs. West Ham,0.0,0
Readingvs. Arsenal,-3.0,-3
Liverpoolvs. Fulham,4.0,4
Man Cityvs. Reading,1.0,1
Newcastlevs. QPR,1.0,1
Southamptonvs. Sunderland,-1.0,-1
Tottenhamvs. Stoke,0.0,0
West Bromvs. Norwich,1.0,1
West Hamvs. Everton,-1.0,-1
Wiganvs. Arsenal,-1.0,-1
Chelseavs. Aston Villa,8.0,8
Swanseavs. Man United,0.0,0
Aston Villavs. Tottenham,-4.0,-4
Evertonvs. Wigan,1.0,1
Fulhamvs. Southampton,0.0,0
Man Unitedvs. Newcastle,1.0,1
Norwichvs. Chelsea,-1.0,-1
QPRvs. West Brom,-1.0,-1
Readingvs. Swansea,0.0,0
Stokevs. Liverpool,2.0,2
Sunderlandvs. Man City,1.0,1
Arsenalvs. Newcastle,4.0,4
Aston Villavs. Wigan,-3.0,-3
Fulhamvs. Swansea,-1.0,-1
Man Unitedvs. West Brom,2.0,2
Norwichvs. Man City,-1.0,-1
Readingvs. West Ham,1.0,1
Stokevs. Southampton,0.0,0
Sunderlandvs. Tottenham,-1.0,-1
Evertonvs. Chelsea,-1.0,-1
QPRvs. Liverpool,-3.0,-3
Man Cityvs. Stoke,3.0,3
Southamptonvs. Arsenal,0.0,0
Swanseavs. Aston Villa,0.0,0
Tottenhamvs. Reading,2.0,2
